,point_diff,season,neutral,elo1_pre,elo2_pre,team1_last10,team2_last10
58139,-11.0,2012,0,1678.1997,1652.3988,0.5,0.5
58140,2.0,2012,0,1482.5021,1596.1472,0.5,0.5
58141,-19.0,2012,0,1493.6945,1454.1561,0.5,0.5
58142,-1.0,2012,0,1594.3787,1632.1742,0.5,0.5
58143,8.0,2012,0,1620.4620000000002,1582.5724,0.5,0.5
58144,4.0,2012,0,1537.8375,1517.6923,0.5,0.5
58145,1.0,2012,0,1422.4645,1490.1206,0.5,0.5
58146,-22.0,2012,0,1661.707,1590.4297,0.45,0.5
58147,9.0,2012,0,1577.4802,1554.6104,0.45,0.5
58148,-4.0,2012,0,1328.2598,1625.5542,0.5,0.55
58149,12.0,2012,0,1473.9299,1423.3777,0.5,0.5
58150,13.0,2012,0,1585.4254,1583.4141,0.5,0.5
58151,-1.0,2012,0,1496.3531,1501.1958,0.5,0.5
58152,-6.0,2012,0,1371.3854,1352.2601,0.5,0.5
58153,-8.0,2012,0,1369.9215,1350.1757,0.5,0.5
58154,8.0,2012,0,1469.1144,1637.1813,0.45,0.55
58155,9.0,2012,0,1441.9906,1589.3716,0.5,0.45
58156,8.0,2012,0,1668.8915,1591.0703,0.55,0.45
58157,25.0,2012,0,1577.8831,1451.2954,0.4,0.5
58158,-36.0,2012,0,1363.6283,1488.3926,0.55,0.5
58159,22.0,2012,0,1541.6879999999999,1453.4791,0.55,0.55
58160,3.0,2012,0,1486.5464,1325.604,0.55,0.45
58161,-16.0,2012,0,1417.2306,1356.5503,0.45,0.45
58162,14.0,2012,0,1480.5741,1487.579,0.5,0.55
58163,-5.0,2012,0,1363.5469,1480.0770000000002,0.55,0.55
58164,-1.0,2012,0,1426.0387,1673.0935,0.45,0.6
58165,-20.0,2012,0,1490.8091,1513.8418,0.45,0.45
58166,17.0,2012,0,1619.9843,1444.3673,0.55,0.45
58167,25.0,2012,0,1593.52,1478.7362,0.55,0.55
58168,-3.0,2012,0,1575.3195,1628.21,0.45,0.6
58169,19.0,2012,0,1506.7399,1586.8683,0.55,0.4
58170,18.0,2012,0,1511.1547,1360.0172,0.55,0.45
58171,2.0,2012,0,1634.8025,1632.1525,0.65,0.4
58172,20.0,2012,0,1548.7574,1600.8844,0.45,0.6
58173,-10.0,2012,0,1445.7827,1625.7216,0.5,0.5
58174,16.0,2012,0,1583.3331,1340.8662,0.5,0.5
58175,9.0,2012,0,1549.3844,1624.0615,0.6,0.6
58176,17.0,2012,0,1584.8112,1478.7377,0.45,0.5
58177,13.0,2012,0,1628.9695,1356.9315,0.35,0.5
58178,7.0,2012,0,1515.991,1338.1683,0.6,0.45
58179,7.0,2012,0,1486.6924,1379.6533,0.6,0.5
58180,20.0,2012,0,1568.7269,1562.3734,0.4,0.5
58181,-13.0,2012,0,1471.3718,1633.2699,0.5,0.55
58182,-2.0,2012,0,1323.9194,1675.2645,0.4,0.65
58183,11.0,2012,0,1572.1967,1394.1276,0.35,0.4
58184,-21.0,2012,0,1423.8677,1586.031,0.4,0.55
58185,21.0,2012,0,1488.231,1355.1809,0.6,0.4
58186,-15.0,2012,0,1521.4115,1469.5493,0.6,0.4
58187,3.0,2012,0,1440.29,1535.1016,0.4,0.5
58188,8.0,2012,0,1391.1031,1490.0547,0.35,0.65
58189,11.0,2012,0,1551.7594,1518.3048,0.45,0.65
58190,-22.0,2012,0,1438.2344,1472.8546,0.45,0.45
58191,-28.0,2012,0,1489.4154,1529.6172,0.55,0.45
58192,15.0,2012,0,1587.2684,1445.7744,0.55,0.45
58193,3.0,2012,0,1590.6942,1615.2151,0.5,0.55
58194,10.0,2012,0,1637.9855,1491.1769,0.7,0.45
58195,9.0,2012,0,1611.0706,1594.8387,0.5,0.55
58196,17.0,2012,0,1322.3868,1630.9546,0.35,0.4
58197,6.0,2012,0,1599.3175,1354.9464,0.6,0.45
58198,5.0,2012,0,1461.7554,1558.2308,0.45,0.65
58199,16.0,2012,0,1416.3214,1499.7839,0.4,0.55
58200,40.0,2012,0,1642.8864,1579.3409,0.6,0.45
58201,-8.0,2012,0,1349.2599,1575.2211,0.35,0.4
58202,39.0,2012,0,1676.7971,1410.5812,0.7,0.35
58203,16.0,2012,0,1376.2910000000002,1335.8545,0.45,0.4
58204,-14.0,2012,0,1328.0634,1481.0104,0.35,0.6
58205,11.0,2012,0,1400.1475,1600.7854,0.4,0.65
58206,-5.0,2012,0,1494.7676,1353.4785,0.5,0.4
58207,13.0,2012,0,1603.9279999999999,1641.3574,0.35,0.75
58208,4.0,2012,0,1441.2749,1486.5688,0.4,0.5
58209,11.0,2012,0,1487.8049,1463.8494,0.4,0.5
58210,5.0,2012,0,1617.1033,1494.152,0.55,0.65
58211,-8.0,2012,0,1681.2399,1511.9998,0.75,0.6
58212,10.0,2012,0,1349.4135,1591.7679,0.4,0.6
58213,8.0,2012,0,1580.6034,1343.8776,0.45,0.3
58214,2.0,2012,0,1656.2969,1531.0908,0.65,0.65
58215,14.0,2012,0,1384.0822,1406.1384,0.5,0.3
58216,17.0,2012,0,1565.9304,1429.5365,0.4,0.45
58217,9.0,2012,0,1588.806,1558.0645,0.5,0.5
58218,12.0,2012,0,1446.3878,1491.5604,0.45,0.6
58219,-10.0,2012,0,1631.7677,1551.2844,0.7,0.6
58220,-16.0,2012,0,1415.4979,1658.0555,0.45,0.7
58221,-8.0,2012,0,1481.4559,1555.1832,0.45,0.5
58222,9.0,2012,0,1613.5177,1494.3931,0.4,0.45
58223,28.0,2012,0,1468.7018,1552.4202,0.5,0.45
58224,15.0,2012,0,1367.4392,1393.5176,0.45,0.55
58225,27.0,2012,0,1619.6948,1424.5081,0.6,0.4
58226,-8.0,2012,0,1480.8069,1396.703,0.45,0.25
58227,6.0,2012,0,1575.5099,1457.2612,0.55,0.45
58228,35.0,2012,0,1662.1488,1491.4834,0.7,0.65
58229,19.0,2012,0,1582.4034,1317.5903,0.5,0.3
58230,-4.0,2012,0,1365.6715,1570.9589,0.45,0.45
58231,18.0,2012,0,1585.4349,1342.0775,0.6,0.25
58232,-7.0,2012,0,1529.3322,1669.1477,0.6,0.75
58233,11.0,2012,0,1569.2021,1594.4503,0.65,0.55
58234,3.0,2012,0,1419.4415,1482.1578,0.35,0.55
58235,22.0,2012,0,1578.4276,1617.174,0.6,0.45
58236,23.0,2012,0,1565.1575,1407.7842,0.55,0.4
58237,-6.0,2012,0,1412.5177,1522.1094,0.3,0.55
58238,7.0,2012,0,1586.2618,1454.3435,0.5,0.4
58239,-11.0,2012,0,1361.5539999999999,1383.4703,0.4,0.5
58240,-13.0,2012,0,1585.0734,1484.4845,0.55,0.6
58241,-14.0,2012,0,1588.3429,1665.7693,0.65,0.75
58242,15.0,2012,0,1613.85,1532.8507,0.65,0.4
58243,9.0,2012,0,1455.7904,1575.0764,0.5,0.5
58244,-12.0,2012,0,1377.4865,1314.9204,0.5,0.25
58245,-3.0,2012,0,1339.1696,1464.9922,0.2,0.4
58246,25.0,2012,0,1490.7368,1577.3906,0.4,0.7
58247,-8.0,2012,0,1471.4817,1624.7614,0.4,0.65
58248,6.0,2012,0,1488.2712,1477.3094,0.55,0.5
58249,-23.0,2012,0,1402.2346,1470.0634,0.35,0.45
58250,15.0,2012,0,1603.3945,1464.0986,0.4,0.35
58251,35.0,2012,0,1570.707,1358.2721,0.6,0.45
58252,15.0,2012,0,1529.5714,1679.7173,0.6,0.8
58253,22.0,2012,0,1506.6793,1405.0557,0.65,0.25
58254,-3.0,2012,0,1526.7169,1619.9838,0.35,0.7
58255,-11.0,2012,0,1334.1348,1676.3705,0.3,0.8
58256,-1.0,2012,0,1451.3868,1466.225,0.35,0.55
58257,4.0,2012,0,1592.207,1632.1444,0.65,0.7
58258,12.0,2012,0,1625.7136,1597.2085,0.75,0.7
58259,-21.0,2012,0,1334.0984,1347.2129,0.15,0.35
58260,-7.0,2012,0,1424.2899,1574.3949,0.4,0.6
58261,20.0,2012,0,1559.1495,1397.8114,0.65,0.55
58262,16.0,2012,0,1508.9779,1472.4014,0.45,0.45
58263,8.0,2012,0,1589.2185,1564.6418,0.55,0.45
58264,-13.0,2012,0,1627.1429,1459.5466,0.65,0.3
58265,10.0,2012,0,1352.7094,1369.8887,0.4,0.4
58266,10.0,2012,0,1576.2698,1513.8732,0.65,0.7
58267,24.0,2012,0,1663.6807,1381.9767,0.75,0.3
58268,4.0,2012,0,1490.3213,1397.8618,0.5,0.2
